reference,score,title,seed,url
DEFE 4/39/4,1,Minutes of Meeting Number 4 of 1951. 1) Situation in Korea. 2) Commonwealth Prime Ministers...,DEFE 4/38,https://discovery.nationalarchives.gov.uk/details/r/C13509977
DEFE 4/39/23,1,Minutes of Meeting Number 23 of 1951. 1) Defence Policy for Hong Kong. 2) French...,DEFE 4/38,https://discovery.nationalarchives.gov.uk/details/r/C13509996
DEFE 4/39/7,1,Minutes of Meeting Number 7 of 1951. Future Operations in Korea.,DEFE 4/38,https://discovery.nationalarchives.gov.uk/details/r/C13509980
DEFE 4/39/5,1,Minutes of Meeting Number 5 of 1951. Future operations in Korea.,DEFE 4/38,https://discovery.nationalarchives.gov.uk/details/r/C13509978
DEFE 4/39/10,1,Minutes of Meeting Number 10 of 1951. 1) Points for discussion with the United States...,DEFE 4/38,https://discovery.nationalarchives.gov.uk/details/r/C13509983
DEFE 4/39/8,1,Minutes of Meeting Number 8 of 1951. 1) Programme for General Eisenhower's visit. 2) Meeting...,DEFE 4/38,https://discovery.nationalarchives.gov.uk/details/r/C13509981
DEFE 4/39/9,1,Minutes of Meeting Number 9 of 1951. 1) British Forces under command of SHAPE. 2)...,DEFE 4/38,https://discovery.nationalarchives.gov.uk/details/r/C13509982
DEFE 4/39/21,1,Minutes of Meeting Number 21 of 1951. 1) Policy in the event of withdrawal of...,DEFE 4/38,https://discovery.nationalarchives.gov.uk/details/r/C13509994
FO 371/84060,2,Internal situation in Korea: general election: attempted unification of North and South Korea: invasion of...,FO 371/84059,https://discovery.nationalarchives.gov.uk/details/r/C2841539
FO 371/84080,1,Invasion of South Korea by North Korea; discussions in United Nations; support for UN resolution;...,FO 371/84081,https://discovery.nationalarchives.gov.uk/details/r/C2841559
FO 371/84082,1,Invasion of South Korea by North Korea; discussions in United Nations; support for UN resolution;...,FO 371/84081,https://discovery.nationalarchives.gov.uk/details/r/C2841561
FO 371/92755,1,General report on position and functions of the temporary British Legation at Pusan. Code FK...,FO 371/92756,https://discovery.nationalarchives.gov.uk/details/r/C2850243
FO 371/92757,2,Anglo-American exchanges concerning the policy of the conduct of the Korean War; discussions about merits...,FO 371/92756,https://discovery.nationalarchives.gov.uk/details/r/C2850245
FO 371/92846,1,"Uncertainty about fate of Mr Kim, a locally engaged member of the British Legation staff...",FO 371/92847,https://discovery.nationalarchives.gov.uk/details/r/C2850334
FO 371/92848,2,Allegations of atrocities by South Korean forces and police; Presidential amnesty of 23 December 1950...,FO 371/92847,https://discovery.nationalarchives.gov.uk/details/r/C2850336
CAB 129/42/7,2,Record Type: Memorandum. Former Reference: CP (50) 207. Title: Legal Implications of the Korean Conflict....,CAB 129/41,https://discovery.nationalarchives.gov.uk/details/r/D7656039
CAB 129/42/15,1,Record Type: Memorandum. Former Reference: CP (50) 215. Title: Future Political Settlement in Korea. Author:...,CAB 129/41,https://discovery.nationalarchives.gov.uk/details/r/D7656047
CAB 129/42/16,1,Record Type: Memorandum. Former Reference: CP (50) 216. Title: Future Political Settlement in Korea. Author:...,CAB 129/41,https://discovery.nationalarchives.gov.uk/details/r/D7656048
FO 17/1658,1,Sir J.N. Jordan. (Mr Jordan). Korea: Diplomatic: drafts,FO 17/1659,https://discovery.nationalarchives.gov.uk/details/r/C4236594
FO 17/1660,1,Sir J.N. Jordan. (Mr Jordan). Volume 2. Korea: Diplomatic: despatches 115-232,FO 17/1659,https://discovery.nationalarchives.gov.uk/details/r/C4236596
